block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
10063080,1706915507,2024-02-02T23:11:47+00:00,276,876728,30000000,0.029224266666666665
10063230,1706915807,2024-02-02T23:16:47+00:00,277,1822261,30000000,0.060742033333333334
10063380,1706916107,2024-02-02T23:21:47+00:00,272,909131,30000000,0.030304366666666666
10063530,1706916407,2024-02-02T23:26:47+00:00,275,952319,30000000,0.031743966666666665
10063680,1706916707,2024-02-02T23:31:47+00:00,276,639358,30000000,0.021311933333333335
10063830,1706917007,2024-02-02T23:36:47+00:00,274,838508,30000000,0.027950266666666668
10063980,1706917307,2024-02-02T23:41:47+00:00,274,2536283,30000000,0.08454276666666667
10064130,1706917607,2024-02-02T23:46:47+00:00,272,92517,30000000,0.0030839
10064280,1706917907,2024-02-02T23:51:47+00:00,271,2351879,30000000,0.07839596666666666
10064430,1706918207,2024-02-02T23:56:47+00:00,279,1117225,30000000,0.037240833333333334
10064580,1706918507,2024-02-03T00:01:47+00:00,279,1059415,30000000,0.035313833333333336
10064730,1706918807,2024-02-03T00:06:47+00:00,270,818783,30000000,0.027292766666666666
10064880,1706919107,2024-02-03T00:11:47+00:00,269,589824,30000000,0.0196608
10065030,1706919407,2024-02-03T00:16:47+00:00,273,2469356,30000000,0.08231186666666666
10065180,1706919707,2024-02-03T00:21:47+00:00,294,2337658,30000000,0.07792193333333333
10065330,1706920007,2024-02-03T00:26:47+00:00,278,574349,30000000,0.019144966666666666
10065480,1706920307,2024-02-03T00:31:47+00:00,290,893618,30000000,0.029787266666666666
10065630,1706920607,2024-02-03T00:36:47+00:00,278,1593812,30000000,0.05312706666666667
10065780,1706920907,2024-02-03T00:41:47+00:00,275,1334253,30000000,0.0444751
10065930,1706921207,2024-02-03T00:46:47+00:00,270,339731,30000000,0.011324366666666667
10066080,1706921507,2024-02-03T00:51:47+00:00,265,2309641,30000000,0.07698803333333333
10066230,1706921807,2024-02-03T00:56:47+00:00,266,2707776,30000000,0.0902592
10066380,1706922107,2024-02-03T01:01:47+00:00,264,697476,30000000,0.0232492
10066530,1706922407,2024-02-03T01:06:47+00:00,261,1098798,30000000,0.0366266
10066680,1706922707,2024-02-03T01:11:47+00:00,259,1190576,30000000,0.039685866666666667
10066830,1706923007,2024-02-03T01:16:47+00:00,265,648125,30000000,0.021604166666666667
10066980,1706923307,2024-02-03T01:21:47+00:00,267,1128203,30000000,0.037606766666666666
10067130,1706923607,2024-02-03T01:26:47+00:00,278,669988,30000000,0.022332933333333332
10067280,1706923907,2024-02-03T01:31:47+00:00,265,1313798,30000000,0.043793266666666664
10067430,1706924207,2024-02-03T01:36:47+00:00,265,662681,30000000,0.022089366666666665
10067580,1706924507,2024-02-03T01:41:47+00:00,269,1705790,30000000,0.05685966666666667
10067730,1706924807,2024-02-03T01:46:47+00:00,271,447333,30000000,0.0149111
10067880,1706925107,2024-02-03T01:51:47+00:00,269,1919790,30000000,0.063993
10068030,1706925407,2024-02-03T01:56:47+00:00,261,1515576,30000000,0.0505192
10068180,1706925707,2024-02-03T02:01:47+00:00,264,1220469,30000000,0.0406823
10068330,1706926007,2024-02-03T02:06:47+00:00,272,2019902,30000000,0.06733006666666666
10068480,1706926307,2024-02-03T02:11:47+00:00,262,325918,30000000,0.010863933333333334
10068630,1706926607,2024-02-03T02:16:47+00:00,265,379290,30000000,0.012643
10068780,1706926907,2024-02-03T02:21:47+00:00,269,1476251,30000000,0.04920836666666667
10068930,1706927207,2024-02-03T02:26:47+00:00,264,427456,30000000,0.014248533333333334
10069080,1706927507,2024-02-03T02:31:47+00:00,268,873833,30000000,0.029127766666666666
10069230,1706927807,2024-02-03T02:36:47+00:00,266,635875,30000000,0.021195833333333334
10069380,1706928107,2024-02-03T02:41:47+00:00,260,1054139,30000000,0.035137966666666666
10069530,1706928407,2024-02-03T02:46:47+00:00,259,2413696,30000000,0.08045653333333333
10069680,1706928707,2024-02-03T02:51:47+00:00,259,17258324,30000000,0.5752774666666667
10069830,1706929007,2024-02-03T02:56:47+00:00,261,826594,30000000,0.027553133333333334
