block_number,timestamp_utc,gas_used,gas_limit,gas_used_ratio
24398583,2026-02-06T15:08:59+00:00,11860733,60000000,0.19767888333333333
24398584,2026-02-06T15:09:11+00:00,31512482,60000000,0.5252080333333333
24398585,2026-02-06T15:09:23+00:00,26479112,60000000,0.4413185333333333
24398586,2026-02-06T15:09:35+00:00,29318655,60000001,0.4886442418559293
24398587,2026-02-06T15:09:47+00:00,12846668,60000000,0.21411113333333334
24398588,2026-02-06T15:09:59+00:00,43209450,60000000,0.7201575
24398589,2026-02-06T15:10:11+00:00,15268750,60000000,0.25447916666666665
24398590,2026-02-06T15:10:23+00:00,29314194,60000000,0.4885699
24398591,2026-02-06T15:10:35+00:00,15974023,60000000,0.2662337166666667
24398592,2026-02-06T15:10:47+00:00,7276231,59941408,0.12138905712725333
24398593,2026-02-06T15:10:59+00:00,37498482,59999943,0.624975293726529
24398594,2026-02-06T15:11:11+00:00,30120637,60000000,0.5020106166666667
24398595,2026-02-06T15:11:23+00:00,15161533,60000000,0.2526922166666667
24398596,2026-02-06T15:11:35+00:00,59906267,59941408,0.9994137441683052
24398597,2026-02-06T15:11:47+00:00,20751692,59999943,0.34586186190210216
24398598,2026-02-06T15:11:59+00:00,41005013,60000000,0.6834168833333333
24398599,2026-02-06T15:12:11+00:00,28401280,60000000,0.47335466666666665
24398600,2026-02-06T15:12:23+00:00,19849537,60000000,0.33082561666666666
24398601,2026-02-06T15:12:35+00:00,29921859,60000000,0.49869765
24398602,2026-02-06T15:12:47+00:00,27178198,60000000,0.45296996666666667
24398603,2026-02-06T15:12:59+00:00,38817267,60000000,0.64695445
24398604,2026-02-06T15:13:11+00:00,25707371,60000000,0.42845618333333335
24398605,2026-02-06T15:13:23+00:00,21997081,60000000,0.36661801666666666
24398606,2026-02-06T15:13:35+00:00,53902616,60000000,0.8983769333333333
24398607,2026-02-06T15:13:47+00:00,37372285,60000000,0.6228714166666667
24398608,2026-02-06T15:13:59+00:00,20475196,60000000,0.34125326666666667
24398609,2026-02-06T15:14:11+00:00,19984609,60000000,0.33307681666666666
24398610,2026-02-06T15:14:23+00:00,51529437,60000000,0.85882395
24398611,2026-02-06T15:14:35+00:00,23096502,60000000,0.3849417
24398612,2026-02-06T15:14:47+00:00,11849934,60000000,0.1974989
24398613,2026-02-06T15:14:59+00:00,58146159,60000000,0.96910265
24398614,2026-02-06T15:15:11+00:00,30181969,60000000,0.5030328166666667
24398615,2026-02-06T15:15:23+00:00,35609125,60000000,0.5934854166666667
24398616,2026-02-06T15:15:35+00:00,41410759,59941408,0.6908539585856909
24398617,2026-02-06T15:15:47+00:00,35768209,59999943,0.5961373829971806
24398618,2026-02-06T15:15:59+00:00,22112139,60000000,0.36853565
24398619,2026-02-06T15:16:11+00:00,20567255,60000000,0.3427875833333333
24398620,2026-02-06T15:16:23+00:00,42815020,60000000,0.7135836666666666
24398621,2026-02-06T15:16:35+00:00,22233475,60000000,0.37055791666666665
24398622,2026-02-06T15:16:47+00:00,17369824,60000000,0.2894970666666667
24398623,2026-02-06T15:16:59+00:00,43446401,60000000,0.7241066833333333
24398624,2026-02-06T15:17:23+00:00,18840535,59941408,0.31431585657781014
24398625,2026-02-06T15:17:35+00:00,53380992,59999943,0.8896840451998429
24398626,2026-02-06T15:17:47+00:00,22196877,60000000,0.36994795
24398627,2026-02-06T15:17:59+00:00,11962502,60000000,0.19937503333333334
24398628,2026-02-06T15:18:11+00:00,39576800,60000000,0.6596133333333334
24398629,2026-02-06T15:18:23+00:00,10487682,60000000,0.1747947
24398630,2026-02-06T15:18:35+00:00,56037872,60000000,0.9339645333333333
24398631,2026-02-06T15:18:47+00:00,26470833,60000000,0.44118055
24398632,2026-02-06T15:18:59+00:00,4662956,60000000,0.07771593333333333
24398633,2026-02-06T15:19:11+00:00,51747555,60000000,0.86245925
24398634,2026-02-06T15:19:23+00:00,20060546,60000000,0.33434243333333336
24398635,2026-02-06T15:19:35+00:00,25344995,60000000,0.4224165833333333
24398636,2026-02-06T15:19:47+00:00,35331914,60000000,0.5888652333333333
24398637,2026-02-06T15:19:59+00:00,20196315,60000000,0.33660525
24398638,2026-02-06T15:20:11+00:00,40086544,60000000,0.6681090666666667
24398639,2026-02-06T15:20:23+00:00,28680636,60000000,0.4780106
24398640,2026-02-06T15:20:35+00:00,19402408,60000000,0.32337346666666666
24398641,2026-02-06T15:20:47+00:00,33110543,60000000,0.5518423833333334
24398642,2026-02-06T15:20:59+00:00,29497893,60000000,0.49163155
24398643,2026-02-06T15:21:11+00:00,36525025,60000000,0.6087504166666666
24398644,2026-02-06T15:21:23+00:00,39426651,60000000,0.65711085
24398645,2026-02-06T15:21:35+00:00,27246957,60000000,0.45411595
24398646,2026-02-06T15:21:47+00:00,48316771,60000000,0.8052795166666666
24398647,2026-02-06T15:21:59+00:00,30598644,60000000,0.5099774
24398648,2026-02-06T15:22:11+00:00,15231654,60000000,0.2538609
24398649,2026-02-06T15:22:23+00:00,30011772,60000000,0.5001962
24398650,2026-02-06T15:22:35+00:00,49072588,60000000,0.8178764666666667
24398651,2026-02-06T15:22:47+00:00,23266932,60000000,0.3877822
24398652,2026-02-06T15:22:59+00:00,29571351,60000000,0.49285585
24398653,2026-02-06T15:23:11+00:00,11091177,60000000,0.18485295
24398654,2026-02-06T15:23:23+00:00,10100246,60000000,0.16833743333333334
24398655,2026-02-06T15:23:35+00:00,49151695,60000000,0.8191949166666667
24398656,2026-02-06T15:23:47+00:00,53282422,60000000,0.8880403666666666
24398657,2026-02-06T15:23:59+00:00,44584310,59941408,0.7437981770464918
24398658,2026-02-06T15:24:11+00:00,42625653,59882873,0.7118171000245763
24398659,2026-02-06T15:24:23+00:00,25525415,59941351,0.42583983467439696
24398660,2026-02-06T15:24:35+00:00,14941918,59999886,0.24903243982830234
24398661,2026-02-06T15:24:47+00:00,37042529,60000000,0.6173754833333334
24398662,2026-02-06T15:24:59+00:00,42312430,60000000,0.7052071666666667
24398663,2026-02-06T15:25:11+00:00,32764459,60000000,0.5460743166666666
24398664,2026-02-06T15:25:23+00:00,28095919,60000000,0.46826531666666665
24398665,2026-02-06T15:25:35+00:00,24217296,60000000,0.4036216
24398666,2026-02-06T15:25:47+00:00,39013753,60000000,0.6502292166666667
24398667,2026-02-06T15:25:59+00:00,20109969,60000000,0.33516615
24398668,2026-02-06T15:26:11+00:00,10208356,60000000,0.17013926666666668
24398669,2026-02-06T15:26:23+00:00,8255759,60000000,0.13759598333333334
24398670,2026-02-06T15:26:35+00:00,16605834,59941408,0.27703443335865585
24398671,2026-02-06T15:26:47+00:00,58514645,59999943,0.9752450098160926
24398672,2026-02-06T15:26:59+00:00,41061224,60000000,0.6843537333333334
24398673,2026-02-06T15:27:11+00:00,47178327,60000000,0.78630545
24398674,2026-02-06T15:27:23+00:00,26771705,60000000,0.44619508333333335
24398675,2026-02-06T15:27:35+00:00,28455749,60000000,0.4742624833333333
24398676,2026-02-06T15:27:47+00:00,33946383,60000000,0.56577305
24398677,2026-02-06T15:27:59+00:00,19837179,60000000,0.33061965
24398678,2026-02-06T15:28:11+00:00,36219608,60000000,0.6036601333333333
24398679,2026-02-06T15:28:23+00:00,21493192,60000000,0.35821986666666666
24398680,2026-02-06T15:28:35+00:00,46192223,59941408,0.7706229223043943
24398681,2026-02-06T15:28:47+00:00,16340669,59999943,0.2723447420608383
24398682,2026-02-06T15:28:59+00:00,8320456,60000000,0.13867426666666666
24398683,2026-02-06T15:29:11+00:00,49049110,60000000,0.8174851666666667
24398684,2026-02-06T15:29:23+00:00,34254945,60000000,0.57091575
24398685,2026-02-06T15:29:35+00:00,20290689,59941408,0.33850871504386415
24398686,2026-02-06T15:29:47+00:00,32205241,59999943,0.5367545265834669
24398687,2026-02-06T15:29:59+00:00,21992329,60000000,0.36653881666666666
24398688,2026-02-06T15:30:11+00:00,28791624,60000000,0.4798604
24398689,2026-02-06T15:30:23+00:00,27913791,60000000,0.46522985
24398690,2026-02-06T15:30:35+00:00,7364254,60000000,0.12273756666666667
24398691,2026-02-06T15:30:47+00:00,41381557,60000000,0.6896926166666667
24398692,2026-02-06T15:30:59+00:00,27171832,60000000,0.45286386666666667
24398693,2026-02-06T15:31:11+00:00,25335777,59941408,0.4226757069169947
24398694,2026-02-06T15:31:23+00:00,25466066,59999943,0.42443483654642805
24398695,2026-02-06T15:31:35+00:00,28556932,59941351,0.4764145539529131
24398696,2026-02-06T15:31:47+00:00,4036083,59999886,0.06726817780953784
24398697,2026-02-06T15:31:59+00:00,6756435,60000000,0.11260725
24398698,2026-02-06T15:32:11+00:00,58730761,60000000,0.9788460166666667
24398699,2026-02-06T15:32:23+00:00,59987796,60000000,0.9997966
24398700,2026-02-06T15:32:35+00:00,20918671,60000000,0.3486445166666667
24398701,2026-02-06T15:32:47+00:00,38573682,60000000,0.6428947
24398702,2026-02-06T15:32:59+00:00,21530904,60000000,0.3588484
24398703,2026-02-06T15:33:11+00:00,41696164,60000000,0.6949360666666666
24398704,2026-02-06T15:33:23+00:00,29911030,60000000,0.4985171666666667
24398705,2026-02-06T15:33:35+00:00,164414,60000000,0.0027402333333333335
24398706,2026-02-06T15:33:47+00:00,20317122,60000000,0.3386187
24398707,2026-02-06T15:33:59+00:00,52093932,59941408,0.8690808864549862
24398708,2026-02-06T15:34:11+00:00,28518144,59999943,0.47530285153770896
24398709,2026-02-06T15:34:23+00:00,40865783,59941351,0.6817627951028331
24398710,2026-02-06T15:34:35+00:00,22773319,59999886,0.3795560378231385
24398711,2026-02-06T15:34:47+00:00,17880044,60000000,0.2980007333333333
24398712,2026-02-06T15:34:59+00:00,45733768,59941408,0.7629745367342723
24398713,2026-02-06T15:35:11+00:00,27541800,59999943,0.45903043607891425
24398714,2026-02-06T15:35:23+00:00,7355311,60000000,0.12258851666666666
24398715,2026-02-06T15:35:35+00:00,36290062,60000000,0.6048343666666667
24398716,2026-02-06T15:35:47+00:00,37137523,59941408,0.6195637413121827
24398717,2026-02-06T15:35:59+00:00,32247516,59999943,0.537459110586155
24398718,2026-02-06T15:36:11+00:00,28572024,60000000,0.4762004
