block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
2015827,1706915509,2024-02-02T23:11:49+00:00,7,284191,61000000,0.004658868852459017
2015902,1706915811,2024-02-02T23:16:51+00:00,7,207622,61000000,0.0034036393442622953
2015977,1706916114,2024-02-02T23:21:54+00:00,7,248736,61000000,0.004077639344262295
2016052,1706916415,2024-02-02T23:26:55+00:00,7,785579,61000000,0.012878344262295081
2016127,1706916718,2024-02-02T23:31:58+00:00,7,21000,61000000,0.00034426229508196723
2016202,1706917029,2024-02-02T23:37:09+00:00,7,572690,61000000,0.009388360655737706
2016277,1706917331,2024-02-02T23:42:11+00:00,7,554569,61000000,0.009091295081967214
2016352,1706917634,2024-02-02T23:47:14+00:00,7,346093,61000000,0.005673655737704918
2016427,1706917934,2024-02-02T23:52:14+00:00,7,230669,61000000,0.0037814590163934426
2016502,1706918235,2024-02-02T23:57:15+00:00,7,486248,61000000,0.00797127868852459
2016577,1706918535,2024-02-03T00:02:15+00:00,7,1234083,61000000,0.020230868852459016
2016652,1706918835,2024-02-03T00:07:15+00:00,7,440249,61000000,0.007217196721311475
2016727,1706919135,2024-02-03T00:12:15+00:00,7,764756,61000000,0.012536983606557377
2016802,1706919436,2024-02-03T00:17:16+00:00,7,505844,61000000,0.008292524590163934
2016877,1706919736,2024-02-03T00:22:16+00:00,7,298428,61000000,0.004892262295081967
2016952,1706920037,2024-02-03T00:27:17+00:00,7,808219,61000000,0.013249491803278689
2017027,1706920337,2024-02-03T00:32:17+00:00,7,179118,61000000,0.002936360655737705
2017102,1706920637,2024-02-03T00:37:17+00:00,7,381968,61000000,0.0062617704918032785
2017177,1706920937,2024-02-03T00:42:17+00:00,7,640744,61000000,0.010504
2017252,1706921237,2024-02-03T00:47:17+00:00,7,897188,61000000,0.014708
2017327,1706921538,2024-02-03T00:52:18+00:00,7,122102,61000000,0.002001672131147541
2017402,1706921839,2024-02-03T00:57:19+00:00,7,200222,61000000,0.003282327868852459
2017477,1706922139,2024-02-03T01:02:19+00:00,7,366552,61000000,0.006009049180327869
2017552,1706922439,2024-02-03T01:07:19+00:00,7,740122,61000000,0.012133147540983607
2017627,1706922742,2024-02-03T01:12:22+00:00,7,699556,61000000,0.011468131147540984
2017702,1706923045,2024-02-03T01:17:25+00:00,7,419274,61000000,0.006873344262295082
2017777,1706923349,2024-02-03T01:22:29+00:00,7,275277,61000000,0.004512737704918033
2017852,1706923649,2024-02-03T01:27:29+00:00,7,125849,61000000,0.0020630983606557377
2017927,1706923949,2024-02-03T01:32:29+00:00,7,498031,61000000,0.00816444262295082
2018002,1706924249,2024-02-03T01:37:29+00:00,7,152724,61000000,0.002503672131147541
2018077,1706924555,2024-02-03T01:42:35+00:00,7,326145,61000000,0.005346639344262295
2018152,1706924855,2024-02-03T01:47:35+00:00,7,981098,61000000,0.016083573770491803
2018227,1706925155,2024-02-03T01:52:35+00:00,7,476513,61000000,0.007811688524590164
2018302,1706925456,2024-02-03T01:57:36+00:00,7,194712,61000000,0.003192
2018377,1706925759,2024-02-03T02:02:39+00:00,7,836719,61000000,0.013716704918032787
2018452,1706926060,2024-02-03T02:07:40+00:00,7,275537,61000000,0.004517
2018527,1706926361,2024-02-03T02:12:41+00:00,7,662814,61000000,0.010865803278688524
2018602,1706926662,2024-02-03T02:17:42+00:00,7,267270,61000000,0.004381475409836065
2018677,1706926963,2024-02-03T02:22:43+00:00,7,135014,61000000,0.002213344262295082
2018752,1706927263,2024-02-03T02:27:43+00:00,7,207202,61000000,0.0033967540983606557
2018827,1706927565,2024-02-03T02:32:45+00:00,7,135752,61000000,0.0022254426229508196
2018902,1706927866,2024-02-03T02:37:46+00:00,7,798897,61000000,0.013096672131147541
