block_number,timestamp_unix,timestamp_utc,base_fee_per_gas_wei,gas_used,gas_limit,gas_used_ratio
1,1716620627,2024-05-25T07:03:47+00:00,1,192114,240250000,0.0007996420395421436
23,1716800675,2024-05-27T09:04:35+00:00,1,135092,240250000,0.0005622976066597294
45,1716801743,2024-05-27T09:22:23+00:00,1,138976,240250000,0.0005784640998959418
67,1716802703,2024-05-27T09:38:23+00:00,1,394914,240250000,0.0016437627471383976
89,1716803735,2024-05-27T09:55:35+00:00,1,146720,240250000,0.0006106971904266389
111,1716804827,2024-05-27T10:13:47+00:00,1,150592,240250000,0.0006268137356919875
133,1716806123,2024-05-27T10:35:23+00:00,1,154464,240250000,0.0006429302809573361
155,1716807359,2024-05-27T10:55:59+00:00,1,158336,240250000,0.0006590468262226847
177,1716808391,2024-05-27T11:13:11+00:00,1,162208,240250000,0.0006751633714880333
199,1716809147,2024-05-27T11:25:47+00:00,1,166080,240250000,0.0006912799167533819
221,1716810131,2024-05-27T11:42:11+00:00,1,169940,240250000,0.0007073465140478669
243,1716810971,2024-05-27T11:56:11+00:00,1,194800,240250000,0.0008108220603537981
265,1716811679,2024-05-27T12:07:59+00:00,1,3457656,240250000,0.014391908428720084
287,1716812363,2024-05-27T12:19:23+00:00,1,12948385,240250000,0.05389546305931322
309,1716813143,2024-05-27T12:32:23+00:00,1,5168057,240250000,0.021511163371488035
331,1716814067,2024-05-27T12:47:47+00:00,1,2748490,240250000,0.01144012486992716
353,1716815171,2024-05-27T13:06:11+00:00,1,1747387,240250000,0.007273202913631633
375,1716815651,2024-05-27T13:14:11+00:00,1,2405965,240250000,0.010014422476586888
397,1716816215,2024-05-27T13:23:35+00:00,1,5448564,240250000,0.022678726326742976
419,1716816707,2024-05-27T13:31:47+00:00,1,4333023,240250000,0.01803547554630593
441,1716817427,2024-05-27T13:43:47+00:00,1,4844081,240250000,0.0201626680541103
463,1716818111,2024-05-27T13:55:11+00:00,1,19586787,240250000,0.08152668886576483
485,1716818663,2024-05-27T14:04:23+00:00,1,7285139,240250000,0.030323159209157128
507,1716819359,2024-05-27T14:15:59+00:00,1,5624379,240250000,0.023410526534859522
529,1716819851,2024-05-27T14:24:11+00:00,1,11240647,240250000,0.0467872924037461
551,1716820439,2024-05-27T14:33:59+00:00,1,9024891,240250000,0.03756458272632674
573,1716821183,2024-05-27T14:46:23+00:00,1,1981030,240250000,0.00824570239334027
595,1716821735,2024-05-27T14:55:35+00:00,1,6056148,240250000,0.025207691987513006
617,1716822275,2024-05-27T15:04:35+00:00,1,2624255,240250000,0.010923017689906347
639,1716822899,2024-05-27T15:14:59+00:00,1,3079649,240250000,0.012818518210197711
661,1716823559,2024-05-27T15:25:59+00:00,1,8179890,240250000,0.03404740894901145
683,1716824195,2024-05-27T15:36:35+00:00,1,4326708,240250000,0.018009190426638916
705,1716824867,2024-05-27T15:47:47+00:00,1,14782133,240250000,0.061528129032258065
727,1716825395,2024-05-27T15:56:35+00:00,1,13300704,240250000,0.05536193132154006
749,1716825971,2024-05-27T16:06:11+00:00,1,3300958,240250000,0.013739679500520291
771,1716826859,2024-05-27T16:20:59+00:00,1,18408995,240250000,0.07662432882414152
793,1716827399,2024-05-27T16:29:59+00:00,1,7229992,240250000,0.030093619146722164
815,1716828023,2024-05-27T16:40:23+00:00,1,5506342,240250000,0.0229192174817898
837,1716828707,2024-05-27T16:51:47+00:00,1,1932322,240250000,0.008042963579604578
859,1716829247,2024-05-27T17:00:47+00:00,1,468762,240250000,0.0019511425598335067
881,1716829799,2024-05-27T17:09:59+00:00,1,1394153,240250000,0.005802926118626431
903,1716830327,2024-05-27T17:18:47+00:00,1,374797,240250000,0.0015600291363163372
925,1716830891,2024-05-27T17:28:11+00:00,1,432631,240250000,0.0018007533818938605
947,1716831491,2024-05-27T17:38:11+00:00,1,599315,240250000,0.0024945473465140477
969,1716832151,2024-05-27T17:49:11+00:00,1,600935,240250000,0.002501290322580645
991,1716832667,2024-05-27T17:57:47+00:00,1,2137497,240250000,0.008896969823100936
1013,1716833135,2024-05-27T18:05:35+00:00,1,735425,240250000,0.00306108220603538
1035,1716833699,2024-05-27T18:14:59+00:00,1,1371802,240250000,0.005709893860561915
1057,1716834299,2024-05-27T18:24:59+00:00,1,4329404,240250000,0.018020412070759627
1079,1716834755,2024-05-27T18:32:35+00:00,1,912784,240250000,0.003799309053069719
1101,1716835247,2024-05-27T18:40:47+00:00,1,720255,240250000,0.002997939646201873
1123,1716835751,2024-05-27T18:49:11+00:00,1,638194,240250000,0.0026563746097814775
1145,1716836183,2024-05-27T18:56:23+00:00,1,319612,240250000,0.001330330905306972
1167,1716836723,2024-05-27T19:05:23+00:00,1,567653,240250000,0.0023627596253902186
1189,1716837191,2024-05-27T19:13:11+00:00,1,750713,240250000,0.0031247159209157127
1211,1716837755,2024-05-27T19:22:35+00:00,1,954725,240250000,0.003973881373569198
1233,1716838307,2024-05-27T19:31:47+00:00,1,3262549,240250000,0.013579808532778357
1255,1716838943,2024-05-27T19:42:23+00:00,1,482104,240250000,0.0020066763787721124
1277,1716839495,2024-05-27T19:51:35+00:00,1,1359799,240250000,0.0056599334027055154
1299,1716840071,2024-05-27T20:01:11+00:00,1,482052,240250000,0.0020064599375650364
1321,1716840731,2024-05-27T20:12:11+00:00,1,366593,240250000,0.0015258813735691988
1343,1716841187,2024-05-27T20:19:47+00:00,1,244256,240250000,0.0010166742976066598
1365,1716841715,2024-05-27T20:28:35+00:00,1,197092,240250000,0.0008203621227887617
1387,1716842207,2024-05-27T20:36:47+00:00,1,361124,240250000,0.001503117585848075
1409,1716842759,2024-05-27T20:45:59+00:00,1,299808,240250000,0.0012479001040582726
